,cds,ccode,enroll_12,num_act,act_pass_21,num_sat_12,sat_pass_12,enroll_11,num_sat_11,sat_pass_11,act_pt_r,act_ps_r,sat_pt_r_12,sat_ps_r_12,sat_pt_r_11,sat_ps_r_11,sat_pt_r,sat_ps_r
0,43696664333795,43.0,463.0,53.0,34,160.0,80.0,453.0,423.0,173.0,0.05723542116630669,0.0734341252699784,0.34557235421166305,0.5,0.9337748344370861,0.408983451536643,0.6364628820960698,0.2762008733624454
1,19647331935121,19.0,226.0,19.0,11,127.0,39.0,234.0,177.0,51.0,0.0420353982300885,0.048672566371681415,0.5619469026548672,0.30708661417322836,0.7564102564102564,0.288135593220339,0.6608695652173913,0.1956521739130435
2,19769680109926,19.0,65.0,33.0,3,42.0,5.0,54.0,40.0,6.0,0.25384615384615383,0.046153846153846156,0.6461538461538462,0.11904761904761904,0.7407407407407407,0.15,0.6890756302521008,0.09243697478991597
3,19647330126615,19.0,126.0,16.0,5,48.0,11.0,145.0,136.0,15.0,0.06349206349206349,0.03968253968253968,0.38095238095238093,0.22916666666666666,0.9379310344827586,0.11029411764705882,0.6789667896678967,0.0959409594095941
4,19651361996321,19.0,104.0,36.0,34,51.0,43.0,105.0,88.0,81.0,0.17307692307692307,0.3269230769230769,0.49038461538461536,0.8431372549019608,0.8380952380952381,0.9204545454545454,0.6650717703349283,0.5933014354066986
5,07616300730283,7.0,353.0,99.0,93,122.0,109.0,315.0,186.0,179.0,0.14022662889518414,0.26345609065155806,0.34560906515580736,0.8934426229508197,0.5904761904761905,0.9623655913978495,0.46107784431137727,0.4311377245508982
6,36679340125419,36.0,430.0,28.0,8,102.0,14.0,461.0,355.0,33.0,0.03255813953488372,0.018604651162790697,0.2372093023255814,0.13725490196078433,0.7700650759219089,0.09295774647887324,0.5129068462401796,0.052749719416386086
7,56725465631619,56.0,507.0,91.0,55,352.0,184.0,574.0,450.0,260.0,0.08974358974358974,0.10848126232741617,0.6942800788954635,0.5227272727272727,0.7839721254355401,0.5777777777777777,0.7419056429232193,0.4107308048103608
8,43696744338802,43.0,458.0,138.0,93,106.0,82.0,469.0,385.0,210.0,0.15065502183406113,0.20305676855895197,0.2314410480349345,0.7735849056603774,0.8208955223880597,0.5454545454545454,0.5296655879180151,0.3149946062567422
9,19646831930080,19.0,459.0,140.0,114,134.0,109.0,494.0,207.0,174.0,0.15250544662309368,0.24836601307189543,0.29193899782135074,0.8134328358208955,0.4190283400809717,0.8405797101449275,0.3578174186778594,0.2969569779643232
10,19647330118588,19.0,382.0,112.0,7,98.0,9.0,387.0,189.0,14.0,0.14659685863874344,0.01832460732984293,0.25654450261780104,0.09183673469387756,0.4883720930232558,0.07407407407407407,0.3732119635890767,0.02990897269180754
11,01611190130229,1.0,463.0,93.0,85,190.0,132.0,423.0,247.0,217.0,0.10043196544276457,0.183585313174946,0.4103671706263499,0.6947368421052632,0.5839243498817966,0.8785425101214575,0.4932279909706546,0.3939051918735892
12,01611270130450,1.0,296.0,58.0,51,114.0,96.0,261.0,147.0,141.0,0.09797297297297297,0.17229729729729729,0.38513513513513514,0.8421052631578947,0.5632183908045977,0.9591836734693877,0.46858168761220825,0.4254937163375224
13,19647331933852,19.0,585.0,139.0,75,323.0,116.0,601.0,541.0,171.0,0.1188034188034188,0.1282051282051282,0.5521367521367522,0.3591331269349845,0.9001663893510815,0.31608133086876156,0.7284991568296796,0.24198988195615515
14,19757131930163,19.0,648.0,93.0,69,268.0,139.0,573.0,279.0,166.0,0.07175925925925926,0.10648148148148148,0.41358024691358025,0.5186567164179104,0.4869109947643979,0.5949820788530465,0.447993447993448,0.2497952497952498
15,07617390730549,7.0,284.0,40.0,30,79.0,60.0,264.0,82.0,66.0,0.07042253521126761,0.1056338028169014,0.27816901408450706,0.759493670886076,0.3106060606060606,0.8048780487804879,0.2937956204379562,0.22992700729927007
16,27661592730109,27.0,651.0,206.0,47,232.0,67.0,704.0,142.0,56.0,0.15821812596006143,0.07219662058371736,0.3563748079877112,0.28879310344827586,0.20170454545454544,0.39436619718309857,0.27601476014760146,0.0907749077490775
17,30664643030574,30.0,749.0,286.0,254,235.0,195.0,789.0,338.0,300.0,0.1909212283044059,0.3391188251001335,0.3137516688918558,0.8297872340425532,0.42839036755386567,0.8875739644970414,0.37256176853055917,0.32184655396618983
18,19647330121285,19.0,123.0,155.0,13,84.0,10.0,114.0,108.0,13.0,0.6300813008130082,0.10569105691056911,0.6829268292682927,0.11904761904761904,0.9473684210526315,0.12037037037037036,0.810126582278481,0.0970464135021097
19,19647330108936,19.0,141.0,70.0,19,138.0,29.0,150.0,147.0,41.0,0.24822695035460993,0.1347517730496454,0.9787234042553191,0.21014492753623187,0.98,0.2789115646258503,0.979381443298969,0.24054982817869416
20,19647330111500,19.0,101.0,80.0,14,95.0,28.0,99.0,99.0,49.0,0.39603960396039606,0.13861386138613863,0.9405940594059405,0.29473684210526313,1.0,0.494949494949495,0.97,0.385
21,19647330108894,19.0,138.0,162.0,24,138.0,31.0,149.0,144.0,59.0,0.5869565217391305,0.17391304347826086,1.0,0.2246376811594203,0.9664429530201343,0.4097222222222222,0.9825783972125436,0.313588850174216
22,19647330117606,19.0,128.0,155.0,40,111.0,31.0,107.0,96.0,36.0,0.60546875,0.3125,0.8671875,0.27927927927927926,0.897196261682243,0.375,0.8808510638297873,0.2851063829787234
23,19647330111658,19.0,141.0,157.0,48,139.0,49.0,155.0,147.0,61.0,0.5567375886524822,0.3404255319148936,0.9858156028368794,0.35251798561151076,0.9483870967741935,0.41496598639455784,0.9662162162162162,0.3716216216216216
24,19647330124941,19.0,114.0,139.0,19,108.0,11.0,111.0,98.0,17.0,0.6096491228070176,0.16666666666666666,0.9473684210526315,0.10185185185185185,0.8828828828828829,0.17346938775510204,0.9155555555555556,0.12444444444444444
25,19647330111641,19.0,130.0,148.0,16,126.0,22.0,155.0,140.0,37.0,0.5692307692307692,0.12307692307692308,0.9692307692307692,0.1746031746031746,0.9032258064516129,0.2642857142857143,0.9333333333333333,0.20701754385964913
